Name,Height,Weight,Reach,Stance,Wins,Losses,Draws
Haley,The North Woods Nightmare,"6' 2""",205 lbs.,--,,6,4
Hall,,"6' 0""",190 lbs.,--,Orthodox,5,6
Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,18,11
Hall,The Wizard,"5' 10""",145 lbs.,"70.0""",Southpaw,9,2
Hallman,Superman,"5' 9""",155 lbs.,"72.0""",Orthodox,53,20
Hallmann,Pletwal,"5' 9""",155 lbs.,"71.0""",Orthodox,18,6
Halme,,"6' 3""",300 lbs.,--,Orthodox,0,4
Halsey,Bull,"6' 0""",185 lbs.,--,,9,3
Halverson,The Hurricane,"5' 9""",155 lbs.,--,Southpaw,16,8
Ham,,"5' 2""",115 lbs.,"62.0""",Southpaw,17,8
Hamaker,,--,--,--,,1,0
Hamanaka,,"6' 0""",185 lbs.,--,Southpaw,5,7
Hamed,,"6' 1""",170 lbs.,"71.0""",Orthodox,13,3
Hamill,The Hammer,"6' 1""",205 lbs.,"76.0""",Orthodox,12,8
Hamilton,Hawk,--,185 lbs.,--,,9,2
Iaquinta,Raging,"5' 10""",155 lbs.,"70.0""",Orthodox,14,7
Ibragimov,,"6' 3""",205 lbs.,"78.0""",Orthodox,8,4
Ichihara,,"5' 7""",178 lbs.,--,Orthodox,0,1
Ige,50K,"5' 7""",145 lbs.,"71.0""",Orthodox,18,9
Ignatov,,"5' 9""",170 lbs.,--,Orthodox,1,2
Ignatov,,"5' 9""",210 lbs.,--,Orthodox,0,1
Iha,,"5' 8""",155 lbs.,--,Orthodox,9,5
Ikemoto,,"5' 11""",168 lbs.,--,Orthodox,21,19
Iloukhine,,"5' 9""",205 lbs.,--,Orthodox,30,11
Imadaev,,"6' 0""",170 lbs.,"76.0""",Orthodox,8,3
Imamura,,"5' 8""",220 lbs.,--,Orthodox,2,6
Imanari,,"5' 4""",139 lbs.,--,Southpaw,36,16
Imavov,The Sniper,"6' 3""",185 lbs.,"75.0""",Orthodox,15,4
Imes,Hillbilly Heartthrob,"6' 7""",265 lbs.,--,Orthodox,13,7
Imperato,,"5' 7""",135 lbs.,"66.0""",Switch,12,7
Indich,,"5' 10""",170 lbs.,--,,6,4
Inman,,--,--,--,,1,0
Inocente,,"6' 3""",205 lbs.,--,Orthodox,7,4
Inoue,Yamato Damashii,"5' 10""",210 lbs.,--,Orthodox,12,8
Inoue,,"5' 9""",190 lbs.,--,Southpaw,13,8
Inoue,,"5' 9""",168 lbs.,--,Southpaw,19,9
Inoue,Lion,"5' 8""",145 lbs.,--,,23,10
Inoue,,"5' 9""",125 lbs.,"71.0""",Orthodox,11,1
Interiano,,"6' 1""",205 lbs.,--,,4,3
Ireland,The Irish Tornado,"5' 9""",161 lbs.,--,Southpaw,19,9
Jabouin,Tiger,"5' 7""",135 lbs.,"68.0""",Orthodox,20,11
Jackson,,"5' 10""",199 lbs.,--,Switch,4,2
Jackson,The Wolf,"5' 8""",185 lbs.,--,Orthodox,15,9
Jackson,Rampage,"6' 1""",205 lbs.,"73.0""",Orthodox,37,12
Jackson,Scorpion,"5' 10""",170 lbs.,--,Orthodox,9,5
Jackson,The Leech,"5' 11""",155 lbs.,"71.0""",Switch,23,8
Jackson,,"6' 0""",185 lbs.,--,,4,3
Jackson,The Truth,"6' 2""",170 lbs.,"74.0""",Orthodox,1,2
Jackson,Jah-Son,"6' 1""",170 lbs.,"78.0""",Orthodox,7,2
Jackson,Quik,"5' 10""",135 lbs.,"75.0""",Southpaw,14,2
Jacob,,--,155 lbs.,--,,1,9
Jacobi,,"6' 4""",260 lbs.,"75.0""",Orthodox,6,1
Jacoby,The Hanyak,"6' 3""",205 lbs.,"76.0""",Orthodox,20,9
James,,"5' 10""",155 lbs.,--,Orthodox,13,7
James,,"6' 0""",185 lbs.,--,,14,8
Jandiroba,Carcara,"5' 3""",115 lbs.,"64.0""",Orthodox,21,3
Janes,,"6' 3""",185 lbs.,"76.0""",Orthodox,10,3
Janousek,,"5' 11""",185 lbs.,--,Orthodox,8,1
Jansen,,"5' 9""",155 lbs.,"73.0""",Orthodox,20,4
Jara,El Cucui,"6' 1""",205 lbs.,--,Southpaw,38,18
Jara,The Little Animal,"5' 9""",145 lbs.,--,,6,9
Jardine,The Dean of Mean,"6' 2""",185 lbs.,"76.0""",Orthodox,17,11
Jardine,The Machine,"5' 11""",170 lbs.,--,Orthodox,12,6
Jarvis,,--,--,--,,1,4
Jason,,"5' 7""",145 lbs.,"73.0""",Orthodox,14,7
Kaase,Kamikaze,"5' 9""",185 lbs.,--,,1,2
Kagan,,"5' 3""",115 lbs.,--,,3,3
Kahlon,,"5' 8""",135 lbs.,"70.0""",Orthodox,16,1
Kaiwen,The Underdog,"5' 9""",145 lbs.,"72.0""",Switch,12,6
Kakai,Zohan,"5' 5""",135 lbs.,--,Orthodox,12,5
Kakhramonov,,"5' 8""",135 lbs.,"69.0""",Orthodox,10,3
Kalman,,"6' 1""",200 lbs.,--,,4,9
Kamaka,,"5' 11""",170 lbs.,--,Orthodox,12,20
Kamaka,The Fighting Hawaiian,"5' 7""",145 lbs.,"69.0""",Orthodox,8,4
Kamikubo,Stealth,"5' 5""",135 lbs.,"68.0""",Switch,13,2
Kampmann,The Hitman,"6' 0""",170 lbs.,"72.0""",Orthodox,20,7
Kanda,Bushido,"5' 9""",145 lbs.,"75.0""",Southpaw,12,5
Kandare,Daring,"5' 7""",135 lbs.,"72.0""",Orthodox,5,3
Kanehara,,"5' 10""",200 lbs.,--,Orthodox,19,27
Kanehara,,"5' 7""",135 lbs.,"67.0""",Orthodox,26,12
Kaneko,,"6' 0""",161 lbs.,--,Orthodox,0,3
Kang,,"5' 11""",185 lbs.,"77.0""",Orthodox,35,16
Kang,Mr. Perfect,"5' 9""",135 lbs.,"73.0""",Orthodox,19,11
Kape,StarBoy,"5' 5""",125 lbs.,"68.0""",Southpaw,20,7
Kaplan,Diamond,"5' 7""",155 lbs.,--,Orthodox,3,4
Kara-France,Don't Blink,"5' 4""",125 lbs.,"69.0""",Orthodox,25,11
Karakhanyan,Insane,"5' 8""",145 lbs.,--,,26,7
Karalexis,The Assassin,"5' 8""",155 lbs.,"66.0""",Orthodox,10,6
Kareckaite,Heavy-Handed,"5' 9""",125 lbs.,"71.0""",Orthodox,5,1
Kasanganay,Tshilobo,"5' 11""",170 lbs.,"75.0""",Orthodox,9,2
Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4
LaBerge,,"5' 10""",145 lbs.,--,,11,6
Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5
Lacerda,Miojo,"5' 6""",125 lbs.,"70.0""",Switch,11,6
Lacerda,,"5' 7""",135 lbs.,"71.0""",Orthodox,12,3
Lachinov,,--,170 lbs.,--,,3,2
Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,9,3
LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3
Laframboise,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,5
