team,player,position,injury,status
N/A,Javon Bullard,S,"Dec 13: Bullard (ankle) has been ruled out ahead of Sunday night's matchup against the Seahawks, Wes Hodkiewicz of the Packers' official site reports.",Out
N/A,Luke Musgrave,TE,"Dec 13: Musgrave (ankle) has been ruled out for Sunday's contest at Seattle, Wes Hodkiewicz of the Packers' official site reports.",Injured Reserve
N/A,Jaire Alexander,CB,"Dec 13: Head coach Matt LaFleur told reporters Friday that Alexander (knee) won't play in Sunday night's matchup against the Seahawks, Matt Schneidman of The Athletic reports.",Out
N/A,Corey Ballentine,CB,,Questionable
N/A,MarShawn Lloyd,RB,"Nov 20: The Packers placed Lloyd (ankle/hamstring/appendix) on the non-football illness list Wednesday, Ian Rapoport of NFL Network reports.",Out
N/A,Jordan Morgan,OT,"Nov 16: The Packers placed Morgan (shoulder) on injured reserve Saturday, Adam Schefter of ESPN reports.",Injured Reserve
N/A,Tyler Davis,TE,"Aug 27: Davis (shoulder) was placed on injured reserve by the Packers on Tuesday, Wes Hodkiewicz of the team's official site reports.",Injured Reserve
N/A,AJ Dillon,RB,"Aug 27: The Packers placed Dillon (neck) on injured reserve Tuesday, Wes Hodkiewicz of the team's official site reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Folorunso Fatukasi,DT,Dec 15: Fatukasi (ankle) was downgraded to out for the remainder of Sunday's game against the Dolphins.,Questionable
N/A,Steven Sims,WR,Dec 15: Sims (coach's decision) is inactive for Sunday's matchup with the Dolphins.,Out
N/A,Cade Stover,TE,,Out
N/A,Juice Scruggs,C,,Out
N/A,Jerry Hughes,DE,,Out
N/A,Kurt Hinish,DT,,Out
N/A,Kenyon Green,G,Dec 15: Green (shoulder) has been ruled out for Sunday's matchup with the Dolphins.,Injured Reserve
N/A,Jalen Pitre,S,Dec 13: The Texans placed Pitre (pectoral) on injured reserve Friday.,Injured Reserve
N/A,Brevin Jordan,TE,"Dec 5: The Texans and Jordan agreed to terms Thursday on a one-year contract extension, Ian Rapoport of NFL Network reports.",Injured Reserve
N/A,Teagan Quitoriano,TE,Nov 28: The Texans placed Quitoriano (knee) on injured reserve Thursday.,Injured Reserve
N/A,Ka'dar Hollman,CB,Nov 27: Hollman (knee) was placed on injured reserve Wednesday.,Injured Reserve
N/A,Stefon Diggs,WR,Oct 29: The Texans placed Diggs (knee) on injured reserve Tuesday.,Injured Reserve
N/A,British Brooks,RB,"Oct 18: Brooks underwent knee surgery Thursday to repair a torn meniscus, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,Brandon Hill,S,Aug 28: Hill (leg) was placed on injured reserve by the Texans on Tuesday.,Injured Reserve
N/A,Case Keenum,QB,,Injured Reserve
N/A,Dalton Keene,TE,"Aug 21: Keene (knee) was placed on injured reserve Wednesday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,Jaylon Thomas,OT,"Aug 5: Thomas (undisclosed) reverted to injured reserve with the Texans on Sunday, per the NFL's transaction log.",Injured Reserve
N/A,LaDarius Henderson,G,"Jul 18: Henderson (foot) reverted to the Texans' reserve/non-football injury list Thursday, Aaron Wilson of KPRC 2 Houston reports.",Out
N/A,N/A,N/A,N/A,N/A
N/A,Atonio Mafi,G,,Out
N/A,Isaiah Land,DE,,Out
N/A,Darren Hall,S,,Out
N/A,Sam Ehlinger,QB,,Out
N/A,Ashton Dulin,WR,,Out
N/A,Ryan Kelly,C,Dec 15: Kelly (knee) remains on injured reserve and will not play Sunday against the Broncos.,Injured Reserve
N/A,Jaylon Carlies,LB,Dec 15: Carlies (lower leg) remains on injured reserve and will not play Sunday against the Broncos.,Injured Reserve
N/A,Braden Smith,OT,Dec 15: The Colts placed Smith (personal) on the reserve/NFI list Saturday.,Out
N/A,JuJu Brents,CB,"Dec 11: Colts head coach Shane Steichen said Wednesday the team is not yet designating Brents (knee) to return from IR, James Boyd of The Athletic reports.",Injured Reserve
N/A,Trevor Denbow,S,Oct 28: Denbow (knee) was placed on injured reserve Monday.,Injured Reserve
N/A,Will Fries,G,Oct 7: Fries (lower leg) was placed on injured reserve Monday.,Injured Reserve
N/A,Samson Ebukam,DE,Aug 27: Ebukam (Achilles) was placed on injured reserve with a designation to return.,Injured Reserve
N/A,Juwann Winfree,WR,"Aug 27: Winfree (undisclosed) was placed on injured reserve by the Colts on Tuesday, JJ Stankevitz of the team's official website reports.",Injured Reserve
N/A,Jelani Woods,TE,"Aug 27: The Colts are in line to place Woods (toe) on season-ending IR, James Boyd of The Athletic reports.",Injured Reserve
N/A,Ryan Coll,C,Aug 19: The Colts placed Coll (undisclosed) on injured reserve Monday.,Injured Reserve
N/A,Wesley French,C,"Aug 9: French underwent season-ending surgery on his ankle prior to being placed on injured reserve Wednesday, Joel A. Erickson of The Indianapolis Star reports.",Injured Reserve
N/A,Daniel Scott,S,Jun 6: The Colts placed Scott (Achilles) on injured reserve Thursday.,Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,D'Ernest Johnson,RB,Dec 15: Johnson (coach's decision) is inactive for Sunday's matchup against the Jets.,Out
